1968596039,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg,None,$0,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg
1968596071,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg
1968598172,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg,Broken,$0,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_1.jpg
1968596924,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg,Hanan Falafel,$4,,,,,,,Hanan Hoummos,$3.50,Baba Ghanoush,$4,Hanan Hoummos Baba Ghanoush,$4.50,Stuffed Grape Leaves,$4.50,Stuffed Grape Leaves and Feta Cheese,$4.75,Hanan Falafel With Hoummos,$4.50,,,,,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg
1968600988,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg,HANAN FALAFEL,$4,,,,,,,HANAN HOUMMOS,$3.50,BABA GHANOUSH,$4,HANAN HOUMMOS BABA GHANOUSH,$4.50,STUFFED GRAPE LEAVES,$4.50,STUFFED GRAPE LEAVES and FETA CHEESE,$4.75,HANAN FALAFEL WITH HOUMMOS,$4.50,,,,,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg
1968602944,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg,Hanan Falafel,$4,,,,,,,Hanan Hoummos,$3.50,Baba Ghanoush,$4,Stuffed Grape Leaves,$4.50,Stuffed Grape Leaves and Feta Cheese,$4.75,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_1.jpg
1968598596,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,Torta Cubana,$9,torta cubana,$9,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg
1968605135,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg,"Choice of Meat. Pollo (Chicken), Pastor (Marinated Pork), Carnitas (Seasoned Pork)",$7,,,,,,,"BURRITO Stuffed With Mexican Rice, Beans, Avocado, Onion, Cilantro, Lettuce, Tomatoes, Cheese and Sour Cream",$7,Tacos Served With Onions and Cilantro,$2.50,"Torta (Mexican Sandwich) Served With Beans, Tomatoes, Onions, Cheese, Lettuce, Jalapeno Pickles, Avocado and Mayo",$7,"Torta Cubana Served With Beans, Tomatoes, Onions, Cheese, Lettuce, Jalapeno Pickles, Avocado, Mayo, Chorizo, Egg, Ham and Chicken Milanesa",$9,"Tostada a Crispy Corn Tortilla Topped With Beans, Lettuce, Tomatoes, Onions, Cilantro, Sour Cream and Cotija Cheese",$3,"Quesadilla Stuffed With Beans, Cheese, Lettuce, Tomatoes, Onions, Cilantro and Sour Cream",$7,,,,,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg
1968624676,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg,Torta,$7,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/27foodtruck_1.jpg
1968595283,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg
1968595897,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg,Rturt,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,333,$333,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg
1968598517,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg,Fried Wonton,$1.25,,,,,,,Shrimp Egg Roll,$1.25,Pork Dumplings,$0,Steamed,$3,Pan Fried,$3.50,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_1.jpg
